iter	Logloss
0	0.3372242368
1	0.1916345401
2	0.1319414269
3	0.1043972719
4	0.08599769102
5	0.07574010683
6	0.07017003709
7	0.06702793322
8	0.06186796011
9	0.06054822257
10	0.05904344278
11	0.05603178434
12	0.05539404573
13	0.05337523306
14	0.05270313465
15	0.05056391627
16	0.04929328289
17	0.04820120308
18	0.0476904768
19	0.0467730217
20	0.04610415197
21	0.04555936251
22	0.04438277158
23	0.04370062601
24	0.04247266565
25	0.04171179704
26	0.04124583243
27	0.03922938192
28	0.03750499032
29	0.03660383945
30	0.03537023504
31	0.03453320958
32	0.03403474881
33	0.03341349437
34	0.03270811105
35	0.03210325342
36	0.03156137281
37	0.03103970376
38	0.0307759758
39	0.03049333468
40	0.02980787247
41	0.02962380483
42	0.02836500484
43	0.02797206221
44	0.0273518191
45	0.02702785818
46	0.02633427213
47	0.02604181863
48	0.02510305066
49	0.02496717942
50	0.02403701289
51	0.0239130382
52	0.02377074647
53	0.02341635684
54	0.02314486082
55	0.0224787138
56	0.02225153417
57	0.02211886319
58	0.0216885553
59	0.02095456437
60	0.02037237394
61	0.02026260665
62	0.02020560178
63	0.01994819358
64	0.0198510926
65	0.01980583454
66	0.01929438608
67	0.01871142341
68	0.01853125952
69	0.01842455136
70	0.01835433503
71	0.01825969433
72	0.01787494636
73	0.01782727295
74	0.01774149956
75	0.01716987377
76	0.01697979209
77	0.01690220297
78	0.01662663782
79	0.01647354431
80	0.01600117822
81	0.01595804999
82	0.01566731103
83	0.0151232125
84	0.01494253508
85	0.01460190552
86	0.01443860856
87	0.01413455257
88	0.01397753895
89	0.01388437586
90	0.01361832254
91	0.01330359864
92	0.01328291271
93	0.01326075548
94	0.01283812051
95	0.01281727902
96	0.01233728793
97	0.01209953512
98	0.01194754727
99	0.01189783184
100	0.01187890557
101	0.01164926522
102	0.01157499455
103	0.01153490376
104	0.01130149573
105	0.01119696842
106	0.01112641086
107	0.011087672
108	0.0108877798
109	0.01087291109
110	0.01059017419
111	0.01033566233
112	0.01017623378
113	0.01010421811
114	0.01009201304
115	0.01006344898
116	0.01001824905
117	0.009881773281
118	0.00962360529
119	0.00948286506
120	0.009381218004
121	0.009357176851
122	0.009296430219
123	0.009060684546
124	0.00903207473
125	0.008983771201
126	0.008702462169
127	0.008654902233
128	0.008496146736
129	0.008450924028
130	0.00842732917
131	0.008190402967
132	0.007988072641
133	0.007978399898
134	0.007935258737
135	0.007914216234
136	0.007703269474
137	0.007672654877
138	0.007642499924
139	0.007624974099
140	0.007610322702
141	0.007409448064
142	0.007397395185
143	0.007373422171
144	0.007361049211
145	0.007271849901
146	0.007271832307
147	0.007093235815
148	0.007039312844
149	0.007026075294
150	0.006925108333
151	0.006903148538
152	0.00687798542
153	0.006869944039
154	0.006766402558
155	0.006641786718
156	0.006641462217
157	0.006641365362
158	0.006632393764
159	0.006598515287
160	0.006546513453
161	0.006383175336
162	0.00635308236
163	0.006285148354
164	0.006157086384
165	0.006157089455
166	0.006143708462
167	0.006086256928
168	0.00594829869
169	0.005904262212
170	0.005770936309
171	0.005770812597
172	0.00576046907
173	0.005760418245
174	0.005760202983
175	0.005750263267
176	0.00565740053
177	0.005647899484
178	0.005644014692
179	0.00561601013
180	0.005587768573
181	0.005565821902
182	0.005544143244
183	0.005516945041
184	0.005407411797
185	0.005407371863
186	0.005407344391
187	0.005407182979
188	0.005407036646
189	0.005358115632
190	0.005333253684
191	0.005333220124
192	0.005333220962
193	0.005277974643
194	0.005232139892
195	0.005129305853
196	0.005022537865
197	0.005022504633
198	0.004953783951
199	0.004953681183
